,city,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
366,skibbereen,40.0,IE,75.0,51.55,-9.27,42.8,12.75
367,curup,24.0,ID,65.0,-3.47,102.53,82.79,1.59
368,anadyr,0.0,RU,84.0,64.73,177.51,6.8,11.18
369,haines junction,12.0,CA,92.0,60.75,-137.51,28.79,2.71
370,pascoag,1.0,US,58.0,41.96,-71.7,37.4,6.93
372,melfort,75.0,CA,91.0,52.87,-104.61,33.8,11.41
373,mega,92.0,ET,90.0,4.06,38.32,64.79,6.4
374,pouebo,92.0,NC,92.0,-20.4,164.57,72.58,2.48
375,hinton,80.0,CA,82.0,53.4,-117.57,32.89,2.71
376,madras,1.0,US,77.0,44.63,-121.13,57.2,9.17
377,tete,20.0,MZ,60.0,-16.16,33.59,75.2,9.17
378,poum,0.0,MK,75.0,41.28,20.71,29.2,1.81
379,langsa,48.0,ID,88.0,4.47,97.97,80.63,2.59
380,pasighat,0.0,IN,43.0,28.06,95.33,77.62,2.15
381,inuvik,75.0,CA,92.0,68.36,-133.71,17.6,3.36
382,touros,88.0,BR,93.0,-5.2,-35.46,77.26,11.65
383,kijini,75.0,TZ,94.0,-5.85,39.32,75.2,5.82
384,whitianga,0.0,NZ,93.0,-36.83,175.7,63.4,14.67
385,bara,48.0,NG,69.0,10.41,10.6,78.61,9.19
386,ilulissat,0.0,GL,55.0,69.22,-51.1,10.4,2.24
387,juba,80.0,EE,100.0,57.82,26.93,35.6,6.93
388,lasa,40.0,CY,55.0,34.92,32.53,66.2,16.11
390,lavrentiya,68.0,RU,100.0,65.58,-170.99,36.22,31.12
391,sarankhola,0.0,BD,49.0,22.31,89.79,90.31,5.73
392,narsipatnam,0.0,IN,61.0,17.67,82.61,89.36,9.42
394,ahipara,64.0,NZ,82.0,-35.17,173.16,61.6,5.17
396,san antonio,0.0,CL,93.0,-33.58,-71.61,46.4,2.59
397,botwood,90.0,CA,100.0,49.14,-55.34,42.8,11.41
398,ubud,24.0,ID,69.0,-8.51,115.26,83.06,2.15
399,avera,90.0,US,93.0,33.19,-82.53,55.4,5.82
400,pyay,12.0,MM,86.0,18.82,95.22,85.99,8.19
